"Id","EmployeeId","Date","Amount"
1,1,2020-01-05,450
2,1,2020-01-25,3000
3,1,2020-02-05,450
4,1,2020-02-25,3000
5,1,2020-03-05,450
6,1,2020-03-25,3000
7,1,2020-04-05,450
8,1,2020-04-25,3000
9,1,2020-05-05,450
10,1,2020-05-25,3000
11,1,2020-06-05,450
12,1,2020-06-25,3000
13,1,2020-07-05,450
14,1,2020-07-25,3000
15,1,2020-08-05,450
16,1,2020-08-25,3000
17,1,2020-09-05,900
18,1,2020-09-25,5500
19,1,2020-10-05,900
20,1,2020-10-25,5500
21,1,2020-11-05,900
22,1,2020-11-25,5500
23,1,2020-12-05,900
24,1,2020-12-25,5500
25,1,2020-12-31,15000
